simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
138,9,10,P14|P5,P18|P4,P11|P8,true
140,1,2,P10|P13,P19|P2,P14|P18,true
142,3,4,P14|P2,P20|P8,P12|P3,true
143,3,4,P16|P3,P13|P5,P10|P12,true
145,3,4,P12|P8,P1|P13,P19|P7,true
147,3,4,P13|P19,P17|P9,P12|P5,true
149,8,9,P2|P4,P14|P5,P13|P15,true
149,9,10,P10|P6,P16|P17,P12|P9,true
149,9,10,P12|P9,P14|P8,P10|P6,true
150,6,7,P19|P8,P16|P3,P12|P3,true
153,2,3,P12|P18,P16|P20,P1|P4,true
154,9,10,P15|P16,P20|P7,P1|P4,true
157,7,8,P2|P9,P16|P18,P5|P8,true
157,8,9,P17|P4,P12|P16,P13|P8,true
160,4,5,P11|P7,P10|P4,P13|P9,true
160,7,8,P2|P4,P16|P5,P16|P9,true
162,4,5,P1|P15,P12|P5,P13|P3,true
163,2,3,P13|P20,P1|P10,P15|P19,true
166,3,4,P15|P7,P13|P2,P17|P18,true
167,9,10,P13|P2,P4|P7,P3|P8,true
169,4,5,P12|P9,P1|P8,P14|P18,true
172,3,4,P16|P18,P4|P7,P20|P6,true
176,2,3,P6|P9,P11|P17,P13|P18,true
176,9,10,P14|P7,P12|P8,P16|P9,true
178,6,7,P3|P5,P17|P7,P15|P8,true
180,6,7,P4|P5,P14|P20,P10|P9,true
181,4,5,P14|P8,P12|P3,P1|P5,true
181,6,7,P19|P4,P20|P9,P2|P6,true
181,9,10,P12|P5,P13|P20,P18|P3,true
183,6,7,P10|P9,P18|P4,P1|P4,true
186,8,9,P5|P6,P16|P8,P1|P12,true
187,4,5,P13|P18,P17|P2,P4|P9,true
188,7,8,P16|P20,P11|P12,P13|P14,true
191,5,6,P20|P4,P5|P7,P11|P9,true
192,9,10,P18|P4,P10|P20,P2|P8,true
193,6,7,P16|P19,P3|P4,P10|P14,true
194,1,2,P15|P18,P13|P16,P5|P9,true
194,8,9,P2|P6,P12|P9,P15|P4,true
196,1,2,P16|P19,P3|P6,P1|P11,true
196,5,6,P18|P20,P11|P17,P14|P4,true
201,4,5,P12|P13,P18|P20,P1|P4,true
202,7,8,P16|P17,P10|P6,P6|P8,true
204,5,6,P16|P19,P1|P2,P17|P9,true
204,9,10,P5|P6,P2|P8,P13|P2,true
208,6,7,P11|P19,P18|P4,P16|P17,true
208,6,7,P16|P17,P15|P3,P11|P19,true
208,8,9,P4|P7,P1|P17,P14|P15,true
208,8,9,P14|P15,P2|P6,P4|P7,true
211,3,4,P12|P20,P14|P8,P13|P15,true
211,8,9,P17|P5,P1|P13,P10|P6,true
212,7,8,P17|P20,P14|P8,P3|P6,true
212,9,10,P1|P8,P15|P19,P12|P7,true
214,7,8,P19|P20,P13|P3,P1|P14,true
